user_name,rating_stars,review_text,date_published,season
/user/id/979617167,3.5,"Better Call Saul season 1 is good, but its nothing over the top. They show some of Saul's backstory throughout more backstories which I found interesting. Mike had some great acting points and moments with some bad ass scenes mixed in. ""Pimento"" has that particular scene. My personal favourite episode is ""Marco"" in season 1 that's the most emotionally driven episode! 7.7/10 overall for first season!!",6d ago,1
/user/id/977718938,5.0,It's good. A very good prequel. My Allah grant us prequels like these.,"Jun 10, 2022",1
/user/id/977621145,2.0,it's like breaking bad except extremely boring and unfunny,"Jun 07, 2022",1
/user/id/979105775,5.0,An absolute brilliant season to start of the show.,"May 29, 2022",1
/user/id/978872223,4.5,Incredible writing and very realistic performances make the first season of Better Call Saul a masterpiece. However this still doesn't mean it can compete with Breaking Bad whatsoever.,"May 26, 2022",1
/user/id/979584538,5.0,jimmy mcdonalds - i will electrocute my brother chuck,"May 25, 2022",1
/user/id/978398412,5.0,Oh my! This show is even greater than Breaking Bad and I'm not kidding. Loved it!,"May 04, 2022",1
/user/id/900887180,5.0,"With a slightly different feel from ""Breaking Bad"", ""Better Call Saul"" manages to leverage BB while at the same time striking off on its own into the high desert of the drug business, shady and legit lawyers, as well as giant egos everywhere you look.","May 03, 2022",1
/user/id/979548241,5.0,"Absolutely brilliant! If you want to know what perfection is, watch this!","Apr 20, 2022",1
/user/id/975004428,4.5,"An incredibly surprising prequel to a previous work I hold in the highest regard, Better Call Saul shows almost immediately how quality of a storyteller Vince Gilligan is. It's a slow burn to start, but reveals itself as an unbelievably quality predecessor to Breaking Bad. As long as you can forgive slight timeline and character inconsistencies that are inevitable for shows attempting what BCS is, you're in for as great of a ride as you can expect.","Apr 07, 2022",1
/user/id/978201545,5.0,"In some ways this is my favorite season of Better Call Saul. The slow pacing gives us time to really sit and think about what is going on in our protagonist's mind. The way Gould and Gilligan crafted the relationships between Jimmy and Chuck, Jimmy and Kim, Jimmy and Howard, etc, without really knowing where these relationships would end up- they just did such a phenomenal job. It's just pure story telling perfection.

There are so many great moments in this season that I won't even bother listing any. If you haven't seen it, watch it NOW. And if you are one of those who was expecting the plot-driven pacing of this show and feel it drags: Just PLEASE get through the first season. The revelation toward the end, I truly believe, will hook you. This is supreme quality television. It does not get better than this show.","Mar 24, 2022",1
/user/id/976231154,5.0,"This show is fantastic on all levels and superior to it's predecessor ""Breaking Bad.""  The ""Saul Goodman"" character was the comic relief in a gritty/dark/depressing ""Breaking Bad"" series.  A show that's all about ""Saul"" is far more enjoyable.","Jan 20, 2022",1
/user/id/979443835,5.0,"Arguably not quite as strong as BB's first season, but it still makes for great television","Jan 15, 2022",1
/user/id/978157234,3.5,"Bob Odenkirk brings all the fun and charisma back that Saul Goodman displayed in Breaking Bad, but with more real world problems.
Ten episodes per season is the perfect amount for this show as I feel right when the show started to slow down at points, it was able to speed back up in the next episode.","Jan 15, 2022",1
/user/id/812426284,5.0,Just brilliant and you don't have to be a Breaking Bad fan to get into,"Jan 13, 2022",1
/user/id/978924404,4.5,"Pimento scene is one of the funniest takes ever, imao!","Jan 12, 2022",1
/user/id/978714108,5.0,"Better Caul Saul is an intellectually sexy show. Breaking Bad is Metallica. Better Caul Saul is Sound Garden. They're similar but Better Caul Saul takes a little more effort to get intimately involved with. Once you ""get"" THAT genius... you will LOVE it. Vince Gilligan really shines with both shows and Better Caul Saul will really speak to true Breaking Bad fans in a deeper level than expected. I can't say enough amazing things about Better Caul Saul.","Jan 11, 2022",1
/user/id/978841310,5.0,"Unique! The best tv serie ever, and I'm not exaggerating!","Dec 04, 2021",1
/user/id/979100762,5.0,"My absolute favourite TV series of all time. Better than breaking bad imo. Hilarious, witty, brilliantly acted and beautifully written. Couldn't recommend more.","Nov 18, 2021",1
/user/id/979267812,5.0,"As I loved Breaking Bad, I slid right over and am loving this just as much. Bob Odenkirk extends his great performance and easily carries his own series.","Sep 16, 2021",1
/user/id/978624595,4.0,"Slightly overexplained, slightly underdeveloped; Better Call Saul struggles slightly under the weight of its founding series. But hey, that's more a compliment to Breaking Bad than it is a dig at this. I look forward to seeing what the rest of the show has to hold!","Aug 17, 2021",1
/user/id/979180057,4.0,"The start of an amazing show, introducing amazing characters, and introduces a new side to Saul Goodman/Jimmy McGill.","Jul 05, 2021",1
/user/id/979127174,4.0,Better Call JIM next time,"Jun 07, 2021",1
/user/id/973797133,0.5,"Overrated, boring.....","Jun 02, 2021",1
/user/id/978925578,4.0,"Darkly hilarious and grounded by Odenkirk's sharp-witted spirit, Better Call Saul's first season shows no signs of slipping any time soon through its fundamental practice.","May 31, 2021",1
/user/id/979149423,2.0,"A few episodes in I lost interest, while not necessarily a bad show, it just wasn't for me. If you really liked Saul as a character, than you'll probably enjoy this spinoff series.","May 30, 2021",1
/user/id/979022131,5.0,"The creator's put every bit of effort and expertise into this show as its predecessor/sequel. Bob Odenkirk and the writers really manage to make the entertaining if mostly one note Saul Goodman into a very complex and intriguing character. The cast is amazing and the writing ingenuity that prevented Breaking Bad from being too inside-the-box is also at full display here. It's a good prequel enriching what comes after, while still being different enough that you can't call it unoriginal. The level of execution on basically every level puts almost any other TV-show to shame.","May 29, 2021",1
/user/id/979127213,3.5,"Undeniably good but it never gets my heart pounding the same way that Breaking Bad did, and it feels a little too slow at times. 

Grade: B-","May 22, 2021",1
/user/id/978286527,5.0,Everything that can be said about Better Call Saul has already been said. This is peak television.,"May 05, 2021",1
/user/id/920947522,4.0,"Vince Gilligan shows a spin-off show with a supporting character from a popular show can work if its done right and the first season of Better Call Saul works very well with its smart, witty dialogue and a pitch-perfect cast.","May 05, 2021",1
/user/id/978996288,5.0,Better Call Saul gives Breaking Bad a run for its money and features powerhouse performances from its fully devoted cast.,"Jan 31, 2021",1
/user/id/977300481,5.0,"Possibly one the best acted and written TV shows in history it is utterly sublime and utterly addictive, as was Breaking Bad. The whole series is so well produced I defy anyone not to love it.","Jan 21, 2021",1
/user/id/978957990,5.0,"Given that Breaking Bad is a masterpiece, being its prequel is a very difficult and demanding task. There are very high expectations. And yet, I'm glad to say Better Call Saul manages to be a very worthy prequel. Interesting, well-written story and very solid performance from the actors. If you liked Breaking Bad, you'll like Better Call Saul.","Jan 08, 2021",1
/user/id/978955044,4.5,"This season focuses on Jimmy's past history, the way of telling the story is fantastic as well as the cinematography is beautiful. The only reason I put four and a half stars is because of the time it takes to get hooked on the story. 4.5 / 5","Jan 01, 2021",1
/user/id/978904700,5.0,Better Call Saul is some of the finest television today. It's as simple as that. Every season is just fantastic!,"Nov 18, 2020",1
/user/id/976223157,4.0,"Flash back to when our main man was Jimmy McGill, a lawyer struggling to catch a break while taking care of his brother. Gilligan is still a great story teller and isn't afraid to let you sit on a scene. But it is clear he learned his lesson from Breaking Bad and this story starts off a lot stronger. It's full of compelling characters and stories and the episodes never leave you bored or incredulous. But at the same time I was never super driven to watch the next episode. I'd be curious what would happen next and knew it would be a good time, but I never felt compelled. Looking forward to diving back into this universe.","Oct 11, 2020",1
/user/id/975321657,4.0,Never thought spin off of a comedy character from one of the best tv shows ever made would be this much entertaining. Bob obendink and jonathan banks really gives the life to their characters again,"Aug 05, 2020",1
